tf_target	interaction
NR4A2_EEF1D	0.8878220102971459
MEF2A_PCNP	0.8878220622013664
GATA4_KIF13A	0.8878221340839084
KLF3_DCTN2	0.8878222141535496
ERG_MLEC	0.8878223260270479
MEF2A_SF3A2	0.887822577592193
SP2_TPP1	0.8878227722177134
TEF_DTX3	0.887822863519031
E2F6_CKM	0.8878234259933211
MEF2D_GADD45G	0.8878238432693247
GATA4_TMUB2	0.8878246630294282
MYC_COPE	0.8878251658366336
TEAD2_VAMP3	0.8878252607502682
PBX3_SAFB	0.8878258405831249
HIVEP2_CALR	0.8878269419374585
MEF2C_LRRC49	0.887827057434556
SIX5_TUBA4A	0.8878271494565961
SRF_COMMD3	0.8878285191297176
ATF7_NNT	0.887828734273775
SP2_USP22	0.887829153504748
PBX1_TRA2B	0.8878292668142048
STAT3_LENG8	0.8878296292391364
NFE2L1_GET4	0.8878296816262052
SMAD3_MYH7B	0.8878297708648009
MAX_HDAC7	0.887829948816065
NFIX_UQCRH	0.887830804307342
KLF7_POLR3GL	0.8878310106242401
MEF2D_CHMP6	0.8878310431378632
BHLHE40_RPS3	0.8878316733198217
AHR_YWHAQ	0.8878318683103259
SRF_ZMYND11	0.8878319879546017
HSF1_EMC4	0.8878320556533698
BHLHE40_JMJD8	0.8878320574487488
STAT3_SSR3	0.8878322988032255
FOXK2_DDX3X	0.8878323663361989
FOXN3_SRSF3	0.8878328947558533
YY1_EPHX1	0.8878329974797426
KLF6_NTN4	0.8878334836789218
TFDP1_MACF1	0.8878340993570388
MAFG_TMA7	0.8878342788189129
HSF1_WDR37	0.8878346865274426
MAX_HMCES	0.8878348035794243
SMAD1_SLC25A30	0.8878349644801409
MAX_UCK1	0.8878354827369419
FOXK2_LAPTM4A	0.8878357150204047
TEAD2_BUD31	0.88783628477923
FOS_DDIT3	0.8878364670657399
ZNF24_SKI	0.8878365278397924
ETS2_ANKMY2	0.8878370259694814
MAZ_PRKAG2	0.8878370314126507
KLF9_SUMO3	0.8878370488622992
STAT1_SDHB	0.887837225107646
ATF7_RPL37	0.8878373071587353
ZNF146_EWSR1	0.8878373073059999
EGR1_MZT2B	0.887837313180402
XBP1_JTB	0.8878374204811209
THRB_DIRAS1	0.887837427169952
ERF_DAB2IP	0.8878376914725497
FOS_BABAM1	0.8878377512696086
SP1_SCOC	0.8878379759912565
RFX5_C19orf53	0.8878382841388559
GATA6_SOCS3	0.8878383539906314
RARA_ENO3	0.8878385536894189
RFX5_PRKAR1A	0.8878388100683936
ATF7_EPN1	0.8878394187742562
MEIS2_ELOB	0.8878394904497793
PBX1_JAG1	0.8878408948734281
ESRRA_ELP5	0.8878410834657612
TEAD2_SNN	0.887841309797966
NFYB_ZFP36L1	0.8878416427586509
RARA_CIRBP	0.8878418465926086
NFIC_MVP	0.8878425466402873
THRB_DNAJC4	0.8878433955136196
AHR_COMT	0.8878434500623318
TFDP1_ABCF3	0.8878435227845285
MEF2C_FBXL5	0.8878435261239294
USF2_EIF6	0.8878442525217067
USF1_SLC25A11	0.8878447652661661
THRA_KCTD9	0.8878449039017806
STAT3_ZCCHC24	0.8878450338389577
NR2F2_CALM1	0.8878451882856194
MAX_YIPF2	0.8878453421448382
ZNF274_DNAJB1	0.8878456473035767
KLF9_TMCO3	0.8878472379884947
ETS2_SETD3	0.8878474975589761
